customer_id,customer_name,venue_type,city,region,delivery_route,service_plan,weekly_deliveries,account_manager,active_since
CUST-001,Hotel Leeds 001,hotel,Leeds,North,West,Priority,15,Tom Alvarez,2025-02-15
CUST-002,Hotel York 002,hotel,York,North,North,Essential,22,Priya Shah,2024-03-15
CUST-003,Hotel Cambridge 003,hotel,Cambridge,North,East,Standard,29,Daniel Brooks,2025-04-15
CUST-004,Hotel Oxford 004,hotel,Oxford,South,Central,Priority,36,Elena Rossi,2024-05-15
CUST-005,Hotel Bristol 005,hotel,Bristol,South,South,Essential,43,Maya Chen,2025-06-15
CUST-006,Hotel Manchester 006,hotel,Manchester,North,East,Standard,50,Tom Alvarez,2024-07-15
CUST-007,Hotel Brighton 007,hotel,Brighton,South,North,Priority,13,Priya Shah,2025-08-15
CUST-008,Hotel Leeds 008,hotel,Leeds,North,East,Essential,20,Daniel Brooks,2024-09-15
CUST-009,Hotel York 009,hotel,York,North,East,Standard,27,Elena Rossi,2025-01-15
CUST-010,Hotel Cambridge 010,hotel,Cambridge,North,South,Priority,34,Maya Chen,2024-02-15
CUST-011,Hotel Oxford 011,hotel,Oxford,South,West,Essential,41,Tom Alvarez,2025-03-15
CUST-012,Hotel Bristol 012,hotel,Bristol,South,East,Standard,48,Priya Shah,2024-04-15
CUST-013,Hotel Manchester 013,hotel,Manchester,North,East,Priority,11,Daniel Brooks,2025-05-15
CUST-014,Hotel Brighton 014,hotel,Brighton,South,Central,Essential,18,Elena Rossi,2024-06-15
CUST-015,Hotel Leeds 015,hotel,Leeds,North,East,Standard,25,Maya Chen,2025-07-15
CUST-016,Hotel York 016,hotel,York,North,West,Priority,32,Tom Alvarez,2024-08-15
CUST-017,Hotel Cambridge 017,hotel,Cambridge,North,North,Essential,39,Priya Shah,2025-09-15
CUST-018,Hotel Oxford 018,hotel,Oxford,South,East,Standard,46,Daniel Brooks,2024-01-15
CUST-019,Hotel Bristol 019,hotel,Bristol,South,Central,Priority,9,Elena Rossi,2025-02-15
CUST-020,Hotel Manchester 020,hotel,Manchester,North,South,Essential,16,Maya Chen,2024-03-15
CUST-021,Hotel Brighton 021,hotel,Brighton,South,East,Standard,23,Tom Alvarez,2025-04-15
CUST-022,Hotel Leeds 022,hotel,Leeds,North,North,Priority,30,Priya Shah,2024-05-15
CUST-023,Hotel York 023,hotel,York,North,East,Essential,37,Daniel Brooks,2025-06-15
CUST-024,Hotel Cambridge 024,hotel,Cambridge,North,East,Standard,44,Elena Rossi,2024-07-15
CUST-025,Hotel Oxford 025,hotel,Oxford,South,South,Priority,51,Maya Chen,2025-08-15
CUST-026,Hotel Bristol 026,hotel,Bristol,South,West,Essential,14,Tom Alvarez,2024-09-15
CUST-027,Hotel Manchester 027,hotel,Manchester,North,East,Standard,21,Priya Shah,2025-01-15
CUST-028,Hotel Brighton 028,hotel,Brighton,South,East,Priority,28,Daniel Brooks,2024-02-15
CUST-029,Hotel Leeds 029,hotel,Leeds,North,Central,Essential,35,Elena Rossi,2025-03-15
CUST-030,Hotel York 030,hotel,York,North,East,Standard,42,Maya Chen,2024-04-15
CUST-031,Hotel Cambridge 031,hotel,Cambridge,North,West,Priority,49,Tom Alvarez,2025-05-15
CUST-032,Hotel Oxford 032,hotel,Oxford,South,North,Essential,12,Priya Shah,2024-06-15
CUST-033,Hotel Bristol 033,hotel,Bristol,South,East,Standard,19,Daniel Brooks,2025-07-15
CUST-034,Hotel Manchester 034,hotel,Manchester,North,Central,Priority,26,Elena Rossi,2024-08-15
CUST-035,Hotel Brighton 035,hotel,Brighton,South,South,Essential,33,Maya Chen,2025-09-15
CUST-036,Hotel Leeds 036,hotel,Leeds,North,East,Standard,40,Tom Alvarez,2024-01-15
CUST-037,Hotel York 037,hotel,York,North,North,Priority,47,Priya Shah,2025-02-15
CUST-038,Hotel Cambridge 038,hotel,Cambridge,North,East,Essential,10,Daniel Brooks,2024-03-15
CUST-039,Hotel Oxford 039,hotel,Oxford,South,East,Standard,17,Elena Rossi,2025-04-15
CUST-040,Hotel Bristol 040,hotel,Bristol,South,South,Priority,24,Maya Chen,2024-05-15
CUST-041,Hotel Manchester 041,hotel,Manchester,North,West,Essential,31,Tom Alvarez,2025-06-15
CUST-042,Hotel Brighton 042,hotel,Brighton,South,East,Standard,38,Priya Shah,2024-07-15
CUST-043,Hotel Leeds 043,hotel,Leeds,North,East,Priority,45,Daniel Brooks,2025-08-15
CUST-044,Hotel York 044,hotel,York,North,Central,Essential,8,Elena Rossi,2024-09-15
CUST-045,Hotel Cambridge 045,hotel,Cambridge,North,East,Standard,15,Maya Chen,2025-01-15
CUST-046,Hotel Oxford 046,hotel,Oxford,South,West,Priority,22,Tom Alvarez,2024-02-15
CUST-047,Hotel Bristol 047,hotel,Bristol,South,North,Essential,29,Priya Shah,2025-03-15
CUST-048,Hotel Manchester 048,hotel,Manchester,North,East,Standard,36,Daniel Brooks,2024-04-15
CUST-049,Hotel Brighton 049,hotel,Brighton,South,Central,Priority,43,Elena Rossi,2025-05-15
CUST-050,Hotel Leeds 050,hotel,Leeds,North,South,Essential,50,Maya Chen,2024-06-15
CUST-051,Hotel York 051,hotel,York,North,East,Standard,13,Tom Alvarez,2025-07-15
CUST-052,Hotel Cambridge 052,hotel,Cambridge,North,North,Priority,20,Priya Shah,2024-08-15
CUST-053,Hotel Oxford 053,hotel,Oxford,South,East,Essential,27,Daniel Brooks,2025-09-15
CUST-054,Hotel Bristol 054,hotel,Bristol,South,East,Standard,34,Elena Rossi,2024-01-15
CUST-055,Hotel Manchester 055,hotel,Manchester,North,South,Priority,41,Maya Chen,2025-02-15
CUST-056,Hotel Brighton 056,hotel,Brighton,South,West,Essential,48,Tom Alvarez,2024-03-15
CUST-057,Hotel Leeds 057,hotel,Leeds,North,East,Standard,11,Priya Shah,2025-04-15
CUST-058,Hotel York 058,hotel,York,North,East,Priority,18,Daniel Brooks,2024-05-15
CUST-059,Hotel Cambridge 059,hotel,Cambridge,North,Central,Essential,25,Elena Rossi,2025-06-15
CUST-060,Hotel Oxford 060,hotel,Oxford,South,East,Standard,32,Maya Chen,2024-07-15
CUST-061,Hotel Bristol 061,hotel,Bristol,South,West,Priority,39,Tom Alvarez,2025-08-15
CUST-062,Hotel Manchester 062,hotel,Manchester,North,North,Essential,46,Priya Shah,2024-09-15
CUST-063,Hotel Brighton 063,hotel,Brighton,South,East,Standard,9,Daniel Brooks,2025-01-15
CUST-064,Hotel Leeds 064,hotel,Leeds,North,Central,Priority,16,Elena Rossi,2024-02-15
CUST-065,Hotel York 065,hotel,York,North,South,Essential,23,Maya Chen,2025-03-15
CUST-066,Hotel Cambridge 066,hotel,Cambridge,North,East,Standard,30,Tom Alvarez,2024-04-15
CUST-067,Hotel Oxford 067,hotel,Oxford,South,North,Priority,37,Priya Shah,2025-05-15
CUST-068,Hotel Bristol 068,hotel,Bristol,South,East,Essential,44,Daniel Brooks,2024-06-15
CUST-069,Hotel Manchester 069,hotel,Manchester,North,East,Standard,51,Elena Rossi,2025-07-15
CUST-070,Hotel Brighton 070,hotel,Brighton,South,South,Priority,14,Maya Chen,2024-08-15
CUST-071,Hotel Leeds 071,hotel,Leeds,North,West,Essential,21,Tom Alvarez,2025-09-15
CUST-072,Hotel York 072,hotel,York,North,East,Standard,28,Priya Shah,2024-01-15
CUST-073,Hotel Cambridge 073,hotel,Cambridge,North,East,Priority,35,Daniel Brooks,2025-02-15
CUST-074,Hotel Oxford 074,hotel,Oxford,South,Central,Essential,42,Elena Rossi,2024-03-15
CUST-075,Hotel Bristol 075,hotel,Bristol,South,East,Standard,49,Maya Chen,2025-04-15
CUST-076,Hotel Manchester 076,hotel,Manchester,North,West,Priority,12,Tom Alvarez,2024-05-15
CUST-077,Hotel Brighton 077,hotel,Brighton,South,North,Essential,19,Priya Shah,2025-06-15
CUST-078,Hotel Leeds 078,hotel,Leeds,North,East,Standard,26,Daniel Brooks,2024-07-15
CUST-079,Hotel York 079,hotel,York,North,Central,Priority,33,Elena Rossi,2025-08-15
CUST-080,Hotel Cambridge 080,hotel,Cambridge,North,South,Essential,40,Maya Chen,2024-09-15
CUST-081,Hotel Oxford 081,hotel,Oxford,South,East,Standard,47,Tom Alvarez,2025-01-15
CUST-082,Hotel Bristol 082,hotel,Bristol,South,North,Priority,10,Priya Shah,2024-02-15
CUST-083,Hotel Manchester 083,hotel,Manchester,North,East,Essential,17,Daniel Brooks,2025-03-15
CUST-084,Hotel Brighton 084,hotel,Brighton,South,East,Standard,24,Elena Rossi,2024-04-15
CUST-085,Hotel Leeds 085,hotel,Leeds,North,South,Priority,31,Maya Chen,2025-05-15
CUST-086,Hotel York 086,hotel,York,North,West,Essential,38,Tom Alvarez,2024-06-15
CUST-087,Hotel Cambridge 087,hotel,Cambridge,North,East,Standard,45,Priya Shah,2025-07-15
CUST-088,Hotel Oxford 088,hotel,Oxford,South,East,Priority,8,Daniel Brooks,2024-08-15
CUST-089,Hotel Bristol 089,hotel,Bristol,South,Central,Essential,15,Elena Rossi,2025-09-15
CUST-090,Hotel Manchester 090,hotel,Manchester,North,East,Standard,22,Maya Chen,2024-01-15
CUST-091,Restaurant Brighton 091,restaurant,Brighton,South,West,Priority,29,Tom Alvarez,2025-02-15
CUST-092,Restaurant Leeds 092,restaurant,Leeds,North,North,Essential,36,Priya Shah,2024-03-15
CUST-093,Restaurant York 093,restaurant,York,North,East,Standard,43,Daniel Brooks,2025-04-15
CUST-094,Restaurant Cambridge 094,restaurant,Cambridge,North,Central,Priority,50,Elena Rossi,2024-05-15
CUST-095,Restaurant Oxford 095,restaurant,Oxford,South,South,Essential,13,Maya Chen,2025-06-15
CUST-096,Restaurant Bristol 096,restaurant,Bristol,South,West,Standard,20,Tom Alvarez,2024-07-15
CUST-097,Restaurant Manchester 097,restaurant,Manchester,North,North,Priority,27,Priya Shah,2025-08-15
CUST-098,Restaurant Brighton 098,restaurant,Brighton,South,East,Essential,34,Daniel Brooks,2024-09-15
CUST-099,Restaurant Leeds 099,restaurant,Leeds,North,Central,Standard,41,Elena Rossi,2025-01-15
CUST-100,Restaurant York 100,restaurant,York,North,South,Priority,48,Maya Chen,2024-02-15
CUST-101,Restaurant Cambridge 101,restaurant,Cambridge,North,West,Essential,11,Tom Alvarez,2025-03-15
CUST-102,Restaurant Oxford 102,restaurant,Oxford,South,North,Standard,18,Priya Shah,2024-04-15
