fixture_file,case_id,customer_id,category,message_id
complaint-001.eml,CASE-001,CUST-132,late_delivery,<a2472649-7351-5bec-9247-e8e136754a71>
complaint-002.eml,CASE-002,CUST-078,short_delivery,<953f9ed3-a191-550a-89fc-4bbdf4549d88>
complaint-003.eml,CASE-003,CUST-090,short_delivery,<29859c15-b0c0-52ef-bdf6-0fbb255b611b>
complaint-004.eml,CASE-004,CUST-110,late_delivery,<e1a6e1fb-909c-5d2c-a5d3-d6981d753206>
complaint-005.eml,CASE-005,CUST-116,late_delivery,<837161af-1322-5373-a365-68185ffd99d4>
complaint-006.eml,CASE-006,CUST-174,damaged_items,<38e76af9-51b7-55e3-a4c4-78b2acabf0ec>
complaint-007.eml,CASE-007,CUST-084,short_delivery,<d72680f2-11ce-5d91-8fe0-af5f85a9f48e>
complaint-008.eml,CASE-008,CUST-151,late_delivery,<e1be40b2-9991-5c46-9388-aab8d22b6176>
complaint-009.eml,CASE-009,CUST-023,short_delivery,<d9fcac5e-2b0d-5e9a-a365-8489d2aba3a1>
complaint-010.eml,CASE-010,CUST-018,short_delivery,<eaf60ba3-6c5b-5271-969d-aaef77940f36>
complaint-011.eml,CASE-011,CUST-144,billing,<de8ecdf9-189f-5dca-87dd-e359bbf749a9>
complaint-012.eml,CASE-012,CUST-008,short_delivery,<1b6cd279-a4f3-5cb2-bd3b-187f17cca807>
complaint-013.eml,CASE-013,CUST-141,short_delivery,<e3adcdbf-c3c0-5a97-9f02-61910348cfc7>
complaint-014.eml,CASE-014,CUST-152,stained_items,<32aa829c-fda9-53e8-90af-dc96c5e20dac>
complaint-015.eml,CASE-015,CUST-132,short_delivery,<9d256ad9-fefd-5906-9567-4191d65eb816>
complaint-016.eml,CASE-016,CUST-140,billing,<ae055d8a-f1da-5ed5-95bc-1eccddfad2ad>
complaint-017.eml,CASE-017,CUST-089,late_delivery,<be81f0ae-e209-5abb-bb07-97be314e92a7>
complaint-018.eml,CASE-018,CUST-016,stained_items,<ca5f81de-4e45-5aab-bc31-64d3bd4ade05>
complaint-019.eml,CASE-019,CUST-107,stained_items,<b41ee60d-3273-5342-bb74-f5d53e227698>
complaint-020.eml,CASE-020,CUST-107,stained_items,<6201e1ef-6b2a-57b0-9c20-991ab521a4f9>
complaint-021.eml,CASE-021,CUST-069,short_delivery,<0e6f6b79-2292-5d46-9f5c-f1c74d272097>
complaint-022.eml,CASE-022,CUST-057,stained_items,<d227668b-91b7-5fb7-8a97-a52aff6e9e52>
complaint-023.eml,CASE-023,CUST-071,stained_items,<63766c6f-5643-5111-bd25-d97aea1ac794>
complaint-024.eml,CASE-024,CUST-002,late_delivery,<9251220b-601f-5bbb-a7b2-8d3d75f87302>
complaint-025.eml,CASE-025,CUST-108,damaged_items,<b8d590da-cfd9-5e22-9743-475b9a23a59c>
complaint-026.eml,CASE-026,CUST-142,late_delivery,<19f72b18-f829-5467-8712-5be50e8144d9>
complaint-027.eml,CASE-027,CUST-127,wrong_quantity,<d0d360d9-fb5e-5e03-a586-01d4638b872b>
complaint-028.eml,CASE-028,CUST-087,short_delivery,<723da4b5-c004-5046-a731-e78312048057>
complaint-029.eml,CASE-029,CUST-051,short_delivery,<a6435b75-ff73-56b1-bca0-8b497b590fd9>
complaint-030.eml,CASE-030,CUST-098,late_delivery,<5465ced1-3cf5-5c8d-85e3-761b82fbad2e>
complaint-031.eml,CASE-031,CUST-017,late_delivery,<7ebceac0-aea8-5c3c-b4f8-aebfaccf67bf>
complaint-032.eml,CASE-032,CUST-020,billing,<da2ccee7-5ee4-5ec7-8dc5-f0949464bdda>
complaint-033.eml,CASE-033,CUST-038,short_delivery,<c1b52377-73f0-5076-a5a8-cb02490ed4db>
complaint-034.eml,CASE-034,CUST-106,late_delivery,<69b1f495-2e49-5d8b-9fb2-7f1f990be06e>
complaint-035.eml,CASE-035,CUST-103,short_delivery,<db464776-aad8-5bdc-b082-35f34468fcf0>
complaint-036.eml,CASE-036,CUST-106,late_delivery,<1592394e-a72d-5f50-99d6-f3b815f7742c>
complaint-037.eml,CASE-037,CUST-059,late_delivery,<5c608cd0-a3a1-5ec7-9a24-c4235e08deff>
complaint-038.eml,CASE-038,CUST-037,late_delivery,<817d987f-2de9-5288-9fb3-c4ceb0280efe>
complaint-039.eml,CASE-039,CUST-032,billing,<329ae062-d022-5ab0-8754-d86b3c8a58f4>
complaint-040.eml,CASE-040,CUST-032,billing,<84cb6f7c-c007-5fc4-b869-43e29169d330>
complaint-041.eml,CASE-041,CUST-067,billing,<46c89b6f-6ed4-5c07-bdef-3a17eb41e309>
complaint-042.eml,CASE-042,CUST-123,stained_items,<7dca8473-eb28-57f9-9319-4f144459bc4c>
complaint-043.eml,CASE-043,CUST-132,damaged_items,<6f081743-dbe7-5694-968b-387263305f27>
complaint-044.eml,CASE-044,CUST-142,late_delivery,<6f30c43d-4828-57b2-b7f9-81bc0563d020>
complaint-045.eml,CASE-045,CUST-157,late_delivery,<478190c5-8ac0-5f9a-8a75-5d675019a16a>
complaint-046.eml,CASE-046,CUST-061,service_change,<e6cd7415-a94a-5f2a-b710-137c01d71180>
complaint-047.eml,CASE-047,CUST-034,wrong_quantity,<9f228ac3-3e0f-5f71-8bdc-6101828e180b>
complaint-048.eml,CASE-048,CUST-014,wrong_quantity,<ca403c36-4498-5c68-b23c-4c4cb087f5bd>
complaint-049.eml,CASE-049,CUST-059,late_delivery,<2586c60c-0d46-57db-bcdf-23ee543d0c60>
complaint-050.eml,CASE-050,CUST-006,short_delivery,<3948c821-39cf-556e-ad1f-876d67606359>
complaint-051.eml,CASE-051,CUST-011,service_change,<f64aceb5-d4c2-55d9-b0bf-94c0636b1bd0>
complaint-052.eml,CASE-052,CUST-001,wrong_quantity,<7ae71930-7081-5f0a-a4de-40fe3b46a696>
complaint-053.eml,CASE-053,CUST-057,short_delivery,<0a3ab03e-355a-5689-bf42-f8e5bc44c6b3>
